Entity,Code,Year,exp,GDP,,,,totexp
Togo,TGO,2015,5.10860014,730,,5.11,,3730.3
Trinidad and Tobago,TTO,1995,3.558549881,"4,264",,3.56,,15179.84
Trinidad and Tobago,TTO,2015,3.373280048,"18,384",,3.38,,62137.92
Tunisia,TUN,1995,6.429759979,"2,169",,6.43,,13946.67
Tunisia,TUN,2005,6.451570034,"3,193",,6.46,,20626.78
Tunisia,TUN,2010,6.254809856,"4,142",,6.26,,25928.92
Tunisia,TUN,2015,6.596000195,"3,862",,6.6,,25489.2
Turks and Caicos Islands,TCA,2005,2.540999889,"20,534",,2.55,,52361.7
Turks and Caicos Islands,TCA,2015,3.093250036,"26,182",,3.1,,81164.2
Uganda,UGA,2010,1.734850049,947,,1.74,,1647.78
Uganda,UGA,2015,2.331530094,766,,2.34,,1792.44
Uganda,UGA,2020,3.013930082,846,,3.02,,2554.92
Ukraine,UKR,2005,6.06441021,"1,903",,6.07,,11551.21
Ukraine,UKR,2010,7.397079945,"2,970",,7.4,,21978
Ukraine,UKR,2015,5.74255991,"2,026",,5.75,,11649.5
United Kingdom,GBR,1995,4.839260101,"23,242",,4.84,,112491.28
United Kingdom,GBR,2005,4.949150085,"42,211",,4.95,,208944.45
United Kingdom,GBR,2010,5.699749947,"39,255",,5.7,,223753.5
United Kingdom,GBR,2015,5.553050041,"44,892",,5.56,,249599.52
Uruguay,URY,1995,2.521399975,"6,610",,2.53,,16723.3
Uruguay,URY,2005,2.714750051,"5,227",,2.72,,14217.44
Uzbekistan,UZB,2015,5.786379814,"2,646",,5.79,,15320.34
Uzbekistan,UZB,2020,5.112410069,"1,724",,5.12,,8826.88
Vanuatu,VUT,2015,5.603380203,"2,802",,5.61,,15719.22
Vanuatu,VUT,2020,2.3125,"2,783",,2.32,,6456.56
Zambia,ZMB,1995,1.838529944,419,,1.84,,770.96
Zambia,ZMB,2005,1.735530019,703,,1.74,,1223.22
Zambia,ZMB,2010,3.700000048,"1,489",,3.71,,5524.19
Zambia,ZMB,2015,4.624330044,"1,314",,4.63,,6083.82
Zimbabwe,ZWE,2010,1.544059992,948,,1.55,,1469.4
Zimbabwe,ZWE,2015,5.812789917,"1,445",,5.82,,8409.9
